bowler,DotBall
"T Curran",15
"T Henderson",14
"CJ McKay",14
"LJ Wright",14
"JDS Neesham",14
"SM Boland",14
"NB Singh",13
"D Salunkhe",13
"C Nanda",13
"AJ Finch",13
"Harmeet Singh (2)",12
"PM Sarvesh Kumar",11
"BMAJ Mendis",11
"Swapnil Singh",10
"D Kalyankrishna",10
"L Ablish",10
"NL McCullum",10
"DAJ Bracewell",10
"SD Chitnis",9
"MK Tiwary",9
"AUK Pathan",9
"NJ Rimmington",9
"GS Sandhu",9
"GR Napier",8
"A Uniyal",8
"CL White",8
"R Ninan",8
"M Vijay",8
"R Salam",8
"V Chakravarthy",8
"P Raj",8
"TM Head",7
"SS Agarwal",7
"MJ Henry",7
"A Nel",7
"D Short",7
"J Searles",7
"J Dala",7
"S Rutherford",7
"H Brar",7
"Tejas Baroka",6
"AA Noffke",6
"VS Yeligati",6
"AS Raut",6
"Mashrafe Mortaza",6
"SA Abbott",6
"A Dananjaya",6
"MA Khote",5
"S Vidyut",5
"Abdur Razzak",5
"RR Bose",5
"S Rana",5
"MG Neser",5
"C Munro",5
"Sachin Baby",5
"M Wood",5
"DB Ravi Teja",4
"SR Tendulkar",4
"LA Carseldine",4
"SS Sarkar",4
"MB Parmar",4
"SS Mundhe",4
"DJ Harris",4
"RG More",4
"A Roy",4
"P Prasanth",3
"Y Gnaneswara Rao",3
"S Dube",3
"S Midhun",3
"L Livingstone",3
"AM Rahane",2
"RS Gavaskar",2
"S Sriram",2
"AA Kazi",2
"SA Yadav",2
"LMP Simmons",2
"KS Williamson",2
"M Lomror",2
"P R Barman",2
"RA Shaikh",1
"C Ganapathy",1
"FY Fazal",1
"B Chipli",1
"RW Price",1
"BJ Rohrer",1
"AC Gilchrist",1
"Mandeep Singh",1
